href,accessible
https://www.google.com/,1
https://www.bing.com/,1
https://in.search.yahoo.com/,1
https://www.baidu.com/,1
https://duckduckgo.com/,1
https://yandex.com/,1
https://www.ask.com/,1
https://www.naver.com/,1
https://www.aol.com/,1
https://www.seznam.cz/,1
https://www.yippy.com/,1
https://ccsearch.creativecommons.org/,1
https://gibiru.com/,1
https://amazon.com,1
https://www.searchencrypt.com/,1
https://www.startpage.com/,1
https://swisscows.com/,1
https://www.ecosia.org/?c=en,1
https://www.gigablast.com/,1
https://www.lycos.com/,1
https://www.mojeek.com/,1
https://searx.me/,0
https://www.webcrawler.com/,1
https://www.wolframalpha.com/,1
https://neeva.co/,1
https://metager.org/,1
https://www.qwant.com/?l=en,1
https://qmamu.com/,1
https://you.com/,1
https://www.oscobo.com/,1
https://infinitysearch.co/,1
https://yep.com,1
https://infinitysearch.co/,1
https://www.facebook.com/,1
https://www.linkedin.com/,1
https://twitter.com/explore,1
https://search.brave.com/,1
https://www.flickr.com/,1
https://in.pinterest.com/,1
https://www.bing.com/images/trending?FORM=ILPTRD,1
https://www.google.com/imghp?hl=en,1
https://tineye.com/,1
https://commons.wikimedia.org/wiki/Main_Page,1
https://youtube.com,1
https://www.dailymotion.com/in,1
https://vimeo.com/,1
https://lbry.com/,1
https://joinpeertube.org/,1
https://d.tube/,0
https://bittube.tv/,1
https://www.bitchute.com/,1
https://www.twitch.tv/,1
https://www.metacafe.com/,1
https://archive.org/,1
